Rank,Title,LetterboxdURI
1,Rap World,https://letterboxd.com/film/rap-world/
2,The Bitter Tears of Petra von Kant,https://letterboxd.com/film/the-bitter-tears-of-petra-von-kant/
3,The Cameraman,https://letterboxd.com/film/the-cameraman/
4,C'mon C'mon,https://letterboxd.com/film/cmon-cmon/
5,The Color of Pomegranates,https://letterboxd.com/film/the-color-of-pomegranates/
6,Puss in Boots: The Last Wish,https://letterboxd.com/film/puss-in-boots-the-last-wish/
7,Hundreds of Beavers,https://letterboxd.com/film/hundreds-of-beavers/
8,White Heat,https://letterboxd.com/film/white-heat/
9,Falling in Love Like in Movies,https://letterboxd.com/film/falling-in-love-like-in-movies/
10,Paddington 2,https://letterboxd.com/film/paddington-2/
11,Marty Supreme,https://letterboxd.com/film/marty-supreme/
12,A Short Film About Love,https://letterboxd.com/film/a-short-film-about-love/
13,After Hours,https://letterboxd.com/film/after-hours/
14,Dunkirk,https://letterboxd.com/film/dunkirk-2017/
15,Manchester by the Sea,https://letterboxd.com/film/manchester-by-the-sea/
16,Creed,https://letterboxd.com/film/creed/
17,Spotlight,https://letterboxd.com/film/spotlight/
18,Guardians of the Galaxy,https://letterboxd.com/film/guardians-of-the-galaxy/
19,Drive,https://letterboxd.com/film/drive-2011/
20,The Disappearance of Haruhi Suzumiya,https://letterboxd.com/film/the-disappearance-of-haruhi-suzumiya/
21,Toy Story 3,https://letterboxd.com/film/toy-story-3/
22,Up,https://letterboxd.com/film/up/
23,The Best of Youth,https://letterboxd.com/film/the-best-of-youth/
24,Nayakan,https://letterboxd.com/film/nayakan/
25,Brazil,https://letterboxd.com/film/brazil/
26,Annie Hall,https://letterboxd.com/film/annie-hall/
27,Badlands,https://letterboxd.com/film/badlands/
28,Harold and Maude,https://letterboxd.com/film/harold-and-maude/
29,Samurai Rebellion,https://letterboxd.com/film/samurai-rebellion/
30,War and Peace,https://letterboxd.com/film/war-and-peace-1965/
31,The Earrings of Madame de...,https://letterboxd.com/film/the-earrings-of-madame-de/
32,Out of the Past,https://letterboxd.com/film/out-of-the-past/
33,Kizumonogatari Part 3: Reiketsu,https://letterboxd.com/film/kizumonogatari-part-3-reiketsu/
34,Napoleon,https://letterboxd.com/film/napoleon/
35,Sinners,https://letterboxd.com/film/sinners-2025/
36,Make Way for Tomorrow,https://letterboxd.com/film/make-way-for-tomorrow/
37,Happy Hour,https://letterboxd.com/film/happy-hour-2015-1/
38,The Weeping Meadow,https://letterboxd.com/film/the-weeping-meadow/
39,Eureka,https://letterboxd.com/film/eureka-2000/
40,The Fifth Seal,https://letterboxd.com/film/the-fifth-seal/
41,The Big City,https://letterboxd.com/film/the-big-city/
42,Anora,https://letterboxd.com/film/anora/
43,Poor Things,https://letterboxd.com/film/poor-things-2023/
44,Godzilla Minus One,https://letterboxd.com/film/godzilla-minus-one/
45,Killers of the Flower Moon,https://letterboxd.com/film/killers-of-the-flower-moon/
46,Bottoms,https://letterboxd.com/film/bottoms/
47,Barbie,https://letterboxd.com/film/barbie/
48,Taxi Driver,https://letterboxd.com/film/taxi-driver/
49,Mars One,https://letterboxd.com/film/mars-one/
50,To Live,https://letterboxd.com/film/to-live/
51,They Don't Wear Black Tie,https://letterboxd.com/film/they-dont-wear-black-tie/
52,Manila in the Claws of Light,https://letterboxd.com/film/manila-in-the-claws-of-light/
53,The Given Word,https://letterboxd.com/film/the-given-word/
54,Pyaasa,https://letterboxd.com/film/pyaasa/
55,Guardians of the Galaxy Vol. 3,https://letterboxd.com/film/guardians-of-the-galaxy-vol-3/
56,Coco,https://letterboxd.com/film/coco-2017/
57,The Shop on Main Street,https://letterboxd.com/film/the-shop-on-main-street/
58,Burning Days,https://letterboxd.com/film/burning-days/
59,John Wick: Chapter 4,https://letterboxd.com/film/john-wick-chapter-4/
60,Pastoral: To Die in the Country,https://letterboxd.com/film/pastoral-to-die-in-the-country/
61,Argentina 1985,https://letterboxd.com/film/argentina-1985/
62,Monica and Friends: Lessons,https://letterboxd.com/film/monica-and-friends-lessons/
63,The Banshees of Inisherin,https://letterboxd.com/film/the-banshees-of-inisherin/
64,The Fabelmans,https://letterboxd.com/film/the-fabelmans/
65,TÁR,https://letterboxd.com/film/tar-2022/
66,Tokyo Twilight,https://letterboxd.com/film/tokyo-twilight/
67,Early Summer,https://letterboxd.com/film/early-summer/
68,Top Gun: Maverick,https://letterboxd.com/film/top-gun-maverick/
69,Toy Story,https://letterboxd.com/film/toy-story/
70,Marketa Lazarová,https://letterboxd.com/film/marketa-lazarova/
71,The Worst Person in the World,https://letterboxd.com/film/the-worst-person-in-the-world/
72,La Belle Noiseuse,https://letterboxd.com/film/la-belle-noiseuse/
73,The Batman,https://letterboxd.com/film/the-batman/
74,Spider-Man: No Way Home,https://letterboxd.com/film/spider-man-no-way-home/
75,A Clockwork Orange,https://letterboxd.com/film/a-clockwork-orange/
76,Canoa: A Shameful Memory,https://letterboxd.com/film/canoa-a-shameful-memory/
77,Edvard Munch,https://letterboxd.com/film/edvard-munch/
78,Licorice Pizza,https://letterboxd.com/film/licorice-pizza/
79,The Emigrants,https://letterboxd.com/film/the-emigrants-2021/
80,Yearning,https://letterboxd.com/film/yearning/
81,Dune,https://letterboxd.com/film/dune-2021/
82,The Red Light Bandit,https://letterboxd.com/film/the-red-light-bandit/
83,Minari,https://letterboxd.com/film/minari/
84,Invisible Life,https://letterboxd.com/film/invisible-life/
85,"Throw Away Your Books, Rally in the Streets",https://letterboxd.com/film/throw-away-your-books-rally-in-the-streets/
86,Judas and the Black Messiah,https://letterboxd.com/film/judas-and-the-black-messiah/
87,Entranced Earth,https://letterboxd.com/film/entranced-earth/
88,Soul,https://letterboxd.com/film/soul-2020/
89,Nomadland,https://letterboxd.com/film/nomadland/
90,The Big Lebowski,https://letterboxd.com/film/the-big-lebowski/
91,Aliens,https://letterboxd.com/film/aliens/
92,The Life of Oharu,https://letterboxd.com/film/the-life-of-oharu/
93,Bacurau,https://letterboxd.com/film/bacurau/
94,The Mother and the Whore,https://letterboxd.com/film/the-mother-and-the-whore/
95,Charulata,https://letterboxd.com/film/charulata/
96,Call Me by Your Name,https://letterboxd.com/film/call-me-by-your-name/
97,Léon: The Professional,https://letterboxd.com/film/leon-the-professional/
98,La Flor,https://letterboxd.com/film/la-flor/
99,"La Commune (Paris, 1871)",https://letterboxd.com/film/la-commune-paris-1871/
100,Kit Kat,https://letterboxd.com/film/kit-kat/
101,The Street Player,https://letterboxd.com/film/the-street-player/
102,"São Paulo, Incorporated",https://letterboxd.com/film/sao-paulo-incorporated/
103,Roma,https://letterboxd.com/film/roma-2018/
104,The Lighthouse,https://letterboxd.com/film/the-lighthouse-2019/
105,Terrorizers,https://letterboxd.com/film/terrorizers/
106,Marriage Story,https://letterboxd.com/film/marriage-story-2019/
107,Uncut Gems,https://letterboxd.com/film/uncut-gems/
108,1917,https://letterboxd.com/film/1917/
109,Die Hard,https://letterboxd.com/film/die-hard/
110,The Irishman,https://letterboxd.com/film/the-irishman-2019/
111,Jurassic Park,https://letterboxd.com/film/jurassic-park/
