Rank,Title,LetterboxdURI
1,Rap World,https://letterboxd.com/film/rap-world/
2,The Bitter Tears of Petra von Kant,https://letterboxd.com/film/the-bitter-tears-of-petra-von-kant/
3,The Cameraman,https://letterboxd.com/film/the-cameraman/
4,C'mon C'mon,https://letterboxd.com/film/cmon-cmon/
5,The Color of Pomegranates,https://letterboxd.com/film/the-color-of-pomegranates/
6,Hundreds of Beavers,https://letterboxd.com/film/hundreds-of-beavers/
7,Puss in Boots: The Last Wish,https://letterboxd.com/film/puss-in-boots-the-last-wish/
8,White Heat,https://letterboxd.com/film/white-heat/
9,Falling in Love Like in Movies,https://letterboxd.com/film/falling-in-love-like-in-movies/
10,Paddington 2,https://letterboxd.com/film/paddington-2/
11,A Short Film About Love,https://letterboxd.com/film/a-short-film-about-love/
12,Marty Supreme,https://letterboxd.com/film/marty-supreme/
13,After Hours,https://letterboxd.com/film/after-hours/
14,Nayakan,https://letterboxd.com/film/nayakan/
15,Samurai Rebellion,https://letterboxd.com/film/samurai-rebellion/
16,The Best of Youth,https://letterboxd.com/film/the-best-of-youth/
17,The Disappearance of Haruhi Suzumiya,https://letterboxd.com/film/the-disappearance-of-haruhi-suzumiya/
18,War and Peace,https://letterboxd.com/film/war-and-peace/
19,Kizumonogatari Part 3: Reiketsu,https://letterboxd.com/film/kizumonogatari-part-3-reiketsu/
20,Napoleon,https://letterboxd.com/film/napoleon/
21,Sinners,https://letterboxd.com/film/sinners-2025/
22,Make Way for Tomorrow,https://letterboxd.com/film/make-way-for-tomorrow/
23,Eureka,https://letterboxd.com/film/eureka-2000/
24,Happy Hour,https://letterboxd.com/film/happy-hour-2015-1/
25,The Big City,https://letterboxd.com/film/the-big-city/
26,The Fifth Seal,https://letterboxd.com/film/the-fifth-seal/
27,The Weeping Meadow,https://letterboxd.com/film/the-weeping-meadow/
28,Anora,https://letterboxd.com/film/anora/
29,Poor Things,https://letterboxd.com/film/poor-things-2023/
30,Godzilla Minus One,https://letterboxd.com/film/godzilla-minus-one/
31,Killers of the Flower Moon,https://letterboxd.com/film/killers-of-the-flower-moon/
32,Bottoms,https://letterboxd.com/film/bottoms/
33,Barbie,https://letterboxd.com/film/barbie/
34,Taxi Driver,https://letterboxd.com/film/taxi-driver/
35,Manila in the Claws of Light,https://letterboxd.com/film/manila-in-the-claws-of-light/
36,Mars One,https://letterboxd.com/film/mars-one/
37,Pyaasa,https://letterboxd.com/film/pyaasa/
38,The Given Word,https://letterboxd.com/film/the-given-word/
39,They Don't Wear Black Tie,https://letterboxd.com/film/they-dont-wear-black-tie/
40,To Live,https://letterboxd.com/film/to-live/
41,Guardians of the Galaxy Vol. 3,https://letterboxd.com/film/guardians-of-the-galaxy-vol-3/
42,Coco,https://letterboxd.com/film/coco-2017/
43,The Shop on Main Street,https://letterboxd.com/film/the-shop-on-main-street/
44,Burning Days,https://letterboxd.com/film/burning-days/
45,John Wick: Chapter 4,https://letterboxd.com/film/john-wick-chapter-4/
46,Pastoral: To Die in the Country,https://letterboxd.com/film/pastoral-to-die-in-the-country/
47,Argentina 1985,https://letterboxd.com/film/argentina-1985/
48,Monica and Friends: Lessons,https://letterboxd.com/film/monica-and-friends-lessons/
49,The Banshees of Inisherin,https://letterboxd.com/film/the-banshees-of-inisherin/
50,The Fabelmans,https://letterboxd.com/film/the-fabelmans/
51,TÁR,https://letterboxd.com/film/tar-2022/
52,Tokyo Twilight,https://letterboxd.com/film/tokyo-twilight/
53,Early Summer,https://letterboxd.com/film/early-summer/
54,Top Gun: Maverick,https://letterboxd.com/film/top-gun-maverick/
55,Toy Story,https://letterboxd.com/film/toy-story/
56,Marketa Lazarová,https://letterboxd.com/film/marketa-lazarova/
57,The Worst Person in the World,https://letterboxd.com/film/the-worst-person-in-the-world/
58,La Belle Noiseuse,https://letterboxd.com/film/la-belle-noiseuse/
59,The Batman,https://letterboxd.com/film/the-batman/
60,Spider-Man: No Way Home,https://letterboxd.com/film/spider-man-no-way-home/
61,A Clockwork Orange,https://letterboxd.com/film/a-clockwork-orange/
62,Canoa: A Shameful Memory,https://letterboxd.com/film/canoa-a-shameful-memory/
63,Edvard Munch,https://letterboxd.com/film/edvard-munch/
64,Licorice Pizza,https://letterboxd.com/film/licorice-pizza/
65,The Emigrants,https://letterboxd.com/film/the-emigrants-2021/
66,Yearning,https://letterboxd.com/film/yearning/
67,Dune,https://letterboxd.com/film/dune-2021/
68,The Red Light Bandit,https://letterboxd.com/film/the-red-light-bandit/
69,Minari,https://letterboxd.com/film/minari/
70,Invisible Life,https://letterboxd.com/film/invisible-life/
71,"Throw Away Your Books, Rally in the Streets",https://letterboxd.com/film/throw-away-your-books-rally-in-the-streets/
72,Judas and the Black Messiah,https://letterboxd.com/film/judas-and-the-black-messiah/
73,Entranced Earth,https://letterboxd.com/film/entranced-earth/
74,Soul,https://letterboxd.com/film/soul-2020/
75,Nomadland,https://letterboxd.com/film/nomadland/
76,Aliens,https://letterboxd.com/film/aliens/
77,The Big Lebowski,https://letterboxd.com/film/the-big-lebowski/
78,The Life of Oharu,https://letterboxd.com/film/the-life-of-oharu/
79,Bacurau,https://letterboxd.com/film/bacurau/
80,The Mother and the Whore,https://letterboxd.com/film/the-mother-and-the-whore/
81,Charulata,https://letterboxd.com/film/charulata/
82,Call Me by Your Name,https://letterboxd.com/film/call-me-by-your-name/
83,Léon: The Professional,https://letterboxd.com/film/leon-the-professional/
84,Kit Kat,https://letterboxd.com/film/kit-kat/
85,"La Commune (Paris, 1871)",https://letterboxd.com/film/la-commune-paris-1871/
86,La Flor,https://letterboxd.com/film/la-flor/
87,The Street Player,https://letterboxd.com/film/the-street-player/
88,"São Paulo, Incorporated",https://letterboxd.com/film/sao-paulo-incorporated/
89,Roma,https://letterboxd.com/film/roma-2018/
90,The Lighthouse,https://letterboxd.com/film/the-lighthouse-2019/
91,Terrorizers,https://letterboxd.com/film/terrorizers/
92,1917,https://letterboxd.com/film/1917/
93,Die Hard,https://letterboxd.com/film/die-hard/
94,Marriage Story,https://letterboxd.com/film/marriage-story-2019/
95,Uncut Gems,https://letterboxd.com/film/uncut-gems/
96,The Irishman,https://letterboxd.com/film/the-irishman-2019/
97,Jurassic Park,https://letterboxd.com/film/jurassic-park/
98,Knives Out,https://letterboxd.com/film/knives-out-2019/
99,Out 1,https://letterboxd.com/film/out-1/
100,The Farewell,https://letterboxd.com/film/the-farewell-2019/
101,Cleaners,https://letterboxd.com/film/cleaners-2019/
102,Manoel’s Destinies,https://letterboxd.com/film/manoels-destinies/
103,"Rio, Northern Zone",https://letterboxd.com/film/rio-northern-zone/
104,The Last Faust,https://letterboxd.com/film/the-last-faust-2019/
105,John Denver Trending,https://letterboxd.com/film/john-denver-trending/
106,Avengers: Endgame,https://letterboxd.com/film/avengers-endgame/
107,Before Midnight,https://letterboxd.com/film/before-midnight/
108,Booksmart,https://letterboxd.com/film/booksmart/
109,Blade Runner,https://letterboxd.com/film/blade-runner/
110,Ode to Nothing,https://letterboxd.com/film/ode-to-nothing/
