Title,Year,Review
A Moment of Innocence,,was kicked 12 times (survived)
Pastoral: To Die in the Country,1974,"was kicked 12 times (kicked on February 27, 2023)"
The Devils,1997,was kicked 12 times (survived)
The Man Who Sleeps,1974,was kicked 12 times (survived)
Happy Hour,2015,"was kicked 10 times (kicked on January 27, 2025)"
Kizumonogatari Part 3: Reiketsu,2017,"was kicked 10 times (kicked on February 16, 2026)"
An Autumn Afternoon,1962,was kicked 9 times (survived)
"Hiroshima, Mon Amour",1959,was kicked 9 times (survived)
La Belle Noiseuse,1991,"was kicked 9 times (kicked on May 16, 2022)"
Amour,2012,was kicked 8 times (survived)
The Fifth Seal,1976,"was kicked 8 times (kicked on January 27, 2025)"
The Matrix,1999,was kicked 8 times (survived)
Get Out,2017,was kicked 7 times (survived)
Heat,,was kicked 7 times (survived)
Nayakan,1987,"was kicked 7 times (kicked on February 23, 2026)"
Some Like It Hot,,was kicked 7 times (survived)
The Best Years of Our Lives,,was kicked 7 times (survived)
The Terrorizers,1986,"was kicked 7 times (kicked on March 5, 2020)"
The Truman Show,1998,was kicked 7 times (survived)
Tokyo Twilight,1957,"was kicked 7 times (kicked on October 17, 2022)"
Out 1,1990,"was kicked 6 times (kicked on December 12, 2019)"
Son of the White Mare,,was kicked 6 times (survived)
The Big City,1963,"was kicked 6 times (kicked on January 27, 2025)"
The King of Comedy,1982,was kicked 6 times (survived)
The Life of Oharu,1952,"was kicked 6 times (kicked on December 8, 2020)"
Céline and Julie Go Boating,1974,was kicked 5 times (survived)
Dersu Uzala,,was kicked 5 times (survived)
Eureka,2001,"was kicked 5 times (kicked on January 27, 2025)"
Il Sorpasso,,was kicked 5 times (survived)
Jurassic Park,1993,"was kicked 5 times (kicked on December 30, 2019)"
Kill Bill: Vol. 1,2003,was kicked 5 times (survived)
Manila in the Claws of Light,1975,"was kicked 5 times (kicked on June 19, 2023)"
Opening Night,,was kicked 5 times (survived)
Still Walking,2008,was kicked 5 times (survived)
The Face of Another,,was kicked 5 times (survived)
The Young and the Damned,1950,was kicked 5 times (survived)
War and Peace,1965,"was kicked 5 times (kicked on February 23, 2026)"
Who's Afraid of Virginia Woolf?,,was kicked 5 times (survived)
