tmdbID,Title,Year,Directors,Review
1050035,Monster,2023,Hirokazu Kore-eda,#1 · Japan
976893,Perfect Days,2023,Wim Wenders,#2 · Japan
758866,Drive My Car,2021,Ryusuke Hamaguchi,#3 · Japan
354759,Happy Hour,2015,Ryusuke Hamaguchi,#4 · Japan
129,Spirited Away,2001,Hayao Miyazaki,#5 · Japan
8392,My Neighbor Totoro,1988,Hayao Miyazaki,#6 · Japan
11645,Ran,1985,Akira Kurosawa,#7 · Japan
16672,Woman in the Dunes,1964,Hiroshi Teshigahara,#8 · Japan
14537,Harakiri,1962,Masaki Kobayashi,#9 · Japan
20532,Sansho the Bailiff,1954,Kenji Mizoguchi,#10 · Japan
346,Seven Samurai,1954,Akira Kurosawa,#11 · Japan
18148,Tokyo Story,1953,Yasujirō Ozu,#12 · Japan
14696,Ugetsu,1953,Kenji Mizoguchi,#13 · Japan
3782,Ikiru,1952,Akira Kurosawa,#14 · Japan
548,Rashômon,1950,Akira Kurosawa,#15 · Japan
20530,Late Spring,1949,Yasujirō Ozu,#16 · Japan
505192,Shoplifters,2018,Hirokazu Kore-eda,#17 · Japan
372058,Your Name,2016,Makoto Shinkai,#18 · Japan
315846,Our Little Sister,2015,Hirokazu Kore-eda,#19 · Japan
319373,Sweet Bean,2015,Naomi Kawase,#20 · Japan
28422,Love Exposure,2008,Sion Sono,#21 · Japan
25050,Still Walking,2008,Hirokazu Kore-eda,#22 · Japan
4935,Howl's Moving Castle,2004,Hayao Miyazaki,#23 · Japan
38047,Eureka,2000,Shinji Aoyama,#24 · Japan
5910,Fireworks,1997,Takeshi Kitano,#25 · Japan
10494,Perfect Blue,1997,Satoshi Kon,#26 · Japan
128,Princess Mononoke,1997,Hayao Miyazaki,#27 · Japan
18872,Maborosi,1995,Hirokazu Kore-eda,#28 · Japan
115784,Moving,1993,Shinji Sōmai,#29 · Japan
149,Akira,1988,Katsuhiro Otomo,#30 · Japan
12477,Grave of the Fireflies,1988,Isao Takahata,#31 · Japan
51929,The Emperor's Naked Army Marches On,1987,Kazuo Hara,#32 · Japan
125257,Muddy River,1981,Kōhei Oguri,#33 · Japan
42170,Vengeance Is Mine,1979,Shōhei Imamura,#34 · Japan
104251,Pastoral: To Die in the Country,1974,Shūji Terayama,#35 · Japan
1556,Funeral Parade of Roses,1969,Toshio Matsumoto,#36 · Japan
98193,Death by Hanging,1968,Nagisa Ōshima,#37 · Japan
29452,The Face of Another,1966,Hiroshi Teshigahara,#38 · Japan
117212,A Fugitive from the Past,1965,Tomu Uchida,#39 · Japan
3780,Red Beard,1965,Akira Kurosawa,#40 · Japan
3763,Onibaba,1964,Kaneto Shindō,#41 · Japan
111398,Yearning,1964,Mikio Naruse,#42 · Japan
12493,High and Low,1963,Akira Kurosawa,#43 · Japan
50759,An Autumn Afternoon,1962,Yasujirō Ozu,#44 · Japan
11878,Yojimbo,1961,Akira Kurosawa,#45 · Japan
3764,The Naked Island,1960,Kaneto Shindō,#46 · Japan
36872,When a Woman Ascends the Stairs,1960,Mikio Naruse,#47 · Japan
31217,The Human Condition,1959,Masaki Kobayashi,#48 · Japan
3777,Throne of Blood,1957,Akira Kurosawa,#49 · Japan
77285,Floating Clouds,1955,Mikio Naruse,#50 · Japan
35861,The Crucified Lovers,1954,Kenji Mizoguchi,#51 · Japan
181097,An Inn at Osaka,1954,Heinosuke Gosho,#52 · Japan
43339,Twenty-four Eyes,1954,Keisuke Kinoshita,#53 · Japan
43364,The Life of Oharu,1952,Kenji Mizoguchi,#54 · Japan
50247,Early Summer,1951,Yasujirō Ozu,#55 · Japan
